집계시,출발영업소코드,도착영업소코드,통행시간,요일,arrive_traffic,rain-1
13,101,140,16256,0,20,0
23,101,140,15694,0,20,0
21,101,140,15301,0,20,0
11,101,140,15320,0,20,0
6,101,140,14867,0,20,0
0,101,140,15605,0,20,0
10,101,140,15137,0,20,0
14,101,140,16788,0,20,0
8,101,140,14437,0,20,0
19,101,140,16891,0,20,0
9,101,140,14898,0,20,0
16,101,140,16902,0,20,0
15,101,140,16805,0,20,0
17,101,140,17068,0,20,0
7,101,140,14809,0,20,0
